customer_id,name,age,segment,monthly_spend,signup_date
c3d48ee8-d7bb-41a0-b0b2-cb5f8e8ff0ea,Bridget Bird,33,budget,55.028802372088784,2023-05-10
0a839286-cbe6-47ea-a0ea-ec39eb53203d,Kevin Simmons,40,budget,39.268290841972615,2022-01-29
4027e5b7-8823-40bf-a207-be020086e276,Nancy Gallegos,47,budget,49.458790266653764,2024-06-01
a9e35216-7ba5-432a-8a92-8180ba8a0b12,Stephanie Banks,74,budget,44.05370972935942,2024-08-01
a7c5fcc3-1c82-4f1c-8f51-fbb3d355e555,Haley Cain,30,budget,59.13584153411027,2022-07-10
46a719cd-7918-483e-af75-fa78092959ab,Brandy Blevins MD,46,budget,61.03317225993201,2024-09-17
71b00165-72bd-4e82-8d92-021d24754d3c,Susan Kerr,30,budget,52.558564999754026,2023-07-09
b1685d73-9e03-48d5-9580-880e628a08ce,Linda Pratt,53,premium,228.40744468874178,2024-12-10
87c2b673-d570-4e54-b6a7-4064818e5567,Lisa Harrington,61,budget,57.68021813477755,2023-07-19
22e8ac35-129c-4da8-b283-47d01e001e66,Andrea Booker,58,budget,53.73247986835922,2024-02-22
2ba705ac-d3c5-4720-b8ed-045db3dd5056,Wendy Colon,27,budget,65.56235686595183,2023-11-08
2b5c7d6e-a6f3-48e2-bcf8-2f9c653f690e,Leslie Smith,49,budget,53.13905214901345,2024-12-23
346b59b1-04aa-479d-9cb5-0b5c35bd685b,Joseph Andrews,25,premium,278.916169950983,2021-07-17
bb778c80-19f8-4d3f-8a1c-bf4cb0c68747,Dr. Anthony Lloyd,62,budget,31.89919160117575,2021-01-09
81843d99-6cd7-4d68-b764-9cd96f8f1c8a,Catherine Garcia,49,premium,179.8882278619585,2023-12-15
a9bf1382-2aa0-4043-be8a-ac763db214eb,Erin Harris,59,premium,166.48152341610873,2024-05-28
41fe87a8-611b-4915-9ca5-79819cc569a7,Frank Nguyen,18,budget,41.318887981057586,2022-06-08
0af70f94-d9ed-46b9-84fc-f17a5d0da15c,Samantha Boyd,72,budget,36.45381376337238,2024-03-19
a054e95f-3e76-4b0e-8d71-a4929f5535c3,Donald Walters,19,budget,51.48699652677094,2023-06-23
cb7f7176-dfa2-45c8-a7ca-113ae3965cd1,Rodney Holden,27,budget,42.623103922140196,2023-12-26
930fe48f-3c65-481e-ad8c-64b1652718a5,Joshua Sutton,18,premium,139.0250208448182,2024-04-22
b39fafe2-7a2e-47f5-af91-f2f355bb1bf7,John Lee,29,budget,40.51203902446348,2022-06-03
0d3b8221-f37e-47af-a7b6-4127c8fbd785,Megan Davis,35,premium,162.0109994699185,2022-07-01
d08954bf-20ea-4c6b-bc4c-3289a752e743,Yvonne Burch,53,budget,42.69869981531453,2024-07-27
19d5e58a-24d3-4822-90b5-8d6ccdfca4ec,Robert Hall,28,budget,50.32243688186554,2025-04-10
f6b40d30-e920-4313-b068-d98432ed98ef,Jacqueline Pineda,44,budget,48.71364342989336,2025-04-20
d8f958b4-b0e5-40aa-8156-a03c02b4e03a,Alyssa Nash,79,budget,51.861168655867225,2020-11-04
f27aefd0-8b4a-4cf4-af04-f2c264561951,Connie Martin,58,budget,34.661209496232324,2025-04-05
5a109930-b81c-4a9a-975e-b087ef8dd643,Jimmy Thompson,55,budget,35.786170836151214,2023-02-24
36fbb526-279c-4e57-8a7b-43126c156691,Kelly Barnes,67,premium,279.33915061316213,2024-11-19
11b8cadb-2deb-4c62-88d3-e5d55e2d8385,Natalie Huff,79,budget,57.06527928495708,2023-10-07
0d991e32-9acb-485a-918c-4f852bdc5c91,Joseph Walker,24,premium,187.43637317328373,2021-04-14
22528471-47c1-47fc-86b3-fd90b6deb4d2,Mathew Graham,77,budget,47.065499997465224,2022-05-27
12f3d7a7-2736-4ba0-9629-28cae534a92a,Elizabeth Beck,44,budget,50.704737460258656,2024-02-14
61df0c35-2409-4836-afd2-12efc61e8486,John Ayala,74,budget,58.34486669453794,2020-07-30
3487649f-fd4e-4236-89ea-9cf33f227a94,Leah Murray,63,budget,62.66948863193142,2024-03-23
cca7a77e-8b23-40e3-9a62-adaf37724707,Samantha Golden,36,budget,46.039383425923035,2024-09-10
103b51c5-6cdb-417d-8925-972669b3e6ce,Raymond Snyder,72,premium,236.96627798231572,2021-10-20
276b9c60-5ca9-49e0-977f-d5b000ac4f1e,Gloria Friedman,39,premium,161.24139647353311,2024-04-19
cf92f905-c3f4-48bc-b689-59be04a3f8f7,Michelle Flores,42,premium,159.90679816993136,2022-06-19
dd4ff3a2-d7a4-406b-9f7a-5ba1c0738943,Kyle Davis,26,premium,215.16434299530718,2024-12-03
a63a6911-ece5-468e-8565-d69c2c147a7b,Heather Aguilar,67,premium,210.99424570863098,2022-01-31
d87d07fa-b6ba-438d-a83e-5621db769c9c,Connie Wallace,37,budget,40.16947119971772,2024-07-29
6d3bcf26-7e1f-4b4f-ad57-f8a06f83c1a6,Timothy Adams,55,budget,47.38564242364719,2020-07-20
b1ccc64d-b0fc-46d8-a5b1-0abdf081f227,Victoria Thompson,38,budget,45.080941507796034,2024-03-31
50f58ba9-5e6d-4d4d-991a-69f211003bea,Samantha Hernandez,78,premium,236.18526470628382,2024-05-07
23dc6e25-770a-4656-8979-92af66a0ebc6,Charles Martin,61,budget,49.40122179533938,2021-01-01
7686683b-6f9a-4801-8fea-be0350380475,Jeremiah Pham,74,budget,55.08652543214222,2023-01-31
52da13fd-c0b8-464e-8e86-4d665f74c75f,Stephen Martin,46,budget,48.07802226774827,2021-11-03
de2508e8-d940-49be-88b7-26019efbf49c,Christopher Collins,47,budget,39.18608992458324,2024-03-21
6ab6423f-1b7c-4d9f-a01b-fb68a64b1039,Daniel Decker,35,budget,36.75538590955995,2023-02-05
cf85e8f6-a612-4cc5-b944-7b08c912512d,George Brown,40,budget,46.23712128118416,2020-10-12
a2a9c72e-a359-4eef-8193-bd4b50a001a9,Gary Chavez,19,budget,61.434395801699225,2020-06-25
bd2ec1fe-eeba-4af3-b996-d987923a9e0f,Jean Douglas,52,budget,53.783852886851655,2020-06-27
